State,City,Origin State,Religion,Caste,Education Level,Occupation,Household Size,Income Bracket
Kerala,Coimbatore,Bihar,Sikh,SC,Primary,Engineer,3.4605583450472928,Lower Middle Class
Arunachal Pradesh,Chapra,Karnataka,Hindu,SC,Doctorate,Daily Wage Worker,7.207288174654861,Lower Middle Class
Kerala,Dhule,Goa,Hindu,SC,Higher Secondary,IT Professional,13.627297088044582,Upper Middle Class
Jharkhand,Dindigul,West Bengal,Hindu,ST,Secondary,Farmer,44.057435396078056,Lower Middle Class
Andhra Pradesh,Satara,Assam,Muslim,OBC,Graduate,Farmer,25.29890305138933,Middle Class
Tamil Nadu,Dehri,Maharashtra,Hindu,OBC,Graduate,Farmer,-8.398474901954025,Middle Class
Uttar Pradesh,Mango,West Bengal,Hindu,OBC,Higher Secondary,Farmer,1.4226333093071093,Middle Class
Bihar,Durgapur,Jharkhand,Hindu,SC,Secondary,Teacher,30.274905989693863,Lower Middle Class
Telangana,Dehri,Sikkim,Hindu,OBC,Graduate,Doctor,-13.770022939669225,Middle Class
Madhya Pradesh,Patiala,Tamil Nadu,Hindu,ST,Graduate,Daily Wage Worker,20.98220955399672,Lower Middle Class
West Bengal,Jamalpur,Assam,Hindu,General,Higher Secondary,Businessman,2.7968915137528088,Lower Middle Class
Tamil Nadu,Dharmavaram,Jharkhand,Hindu,General,Graduate,Businessman,-9.198523944086578,Below Poverty Line
Madhya Pradesh,Farrukhabad,Karnataka,Hindu,ST,Secondary,IT Professional,2.2713436450576374,Lower Middle Class
Jharkhand,Jaipur,Gujarat,Hindu,General,Secondary,Farmer,9.489507808778908,Lower Middle Class
Andhra Pradesh,Amroha,Telangana,Hindu,General,Primary,Teacher,-2.027624196619504,Upper Middle Class
Uttarakhand,Jodhpur,Haryana,Hindu,SC,Graduate,Daily Wage Worker,-1.839939502081363,Middle Class
Jharkhand,Jalandhar,Gujarat,Hindu,OBC,Higher Secondary,Daily Wage Worker,3.89057807254878,Below Poverty Line
Andhra Pradesh,Naihati,Uttarakhand,Hindu,OBC,Higher Secondary,Engineer,20.98498837394534,Lower Middle Class
Karnataka,Pune,Telangana,Hindu,General,Graduate,Doctor,-12.815066736818732,Middle Class
Mizoram,Bhatpara,Arunachal Pradesh,Hindu,OBC,Graduate,Farmer,11.679549976133824,Lower Middle Class
Haryana,Purnia,Himachal Pradesh,Hindu,OBC,Graduate,IT Professional,27.162188117431857,Below Poverty Line
Assam,Alwar,Andhra Pradesh,Hindu,General,Graduate,Farmer,4.060536745205509,Lower Middle Class
Arunachal Pradesh,Pondicherry,Meghalaya,Hindu,General,Graduate,Engineer,12.904346414016375,Middle Class
Rajasthan,Fatehpur,Odisha,Muslim,OBC,Higher Secondary,Businessman,10.39099313784289,Middle Class
West Bengal,Bharatpur,Manipur,Hindu,SC,Graduate,Engineer,14.743429810810767,Upper Middle Class
Odisha,Bhatpara,Uttar Pradesh,Christian,SC,Higher Secondary,Doctor,10.584418939705856,Lower Middle Class
Maharashtra,Hubli–Dharwad,Andhra Pradesh,Hindu,OBC,Primary,Daily Wage Worker,2.2822845366821873,Below Poverty Line
West Bengal,Chennai,Chhattisgarh,Hindu,OBC,Post Graduate,Teacher,13.097847662688007,Lower Middle Class
Haryana,Vijayanagaram,Punjab,Hindu,OBC,Higher Secondary,Doctor,-21.904357415117232,Lower Middle Class
Chhattisgarh,Sasaram,Meghalaya,Hindu,OBC,Graduate,Engineer,10.361055576102673,Middle Class
Manipur,Narasaraopet,Madhya Pradesh,Hindu,General,Graduate,Businessman,-4.54772264615111,Middle Class
Meghalaya,Machilipatnam,Punjab,Muslim,General,Graduate,Engineer,-11.92829270354142,Middle Class
Rajasthan,Vellore,Gujarat,Hindu,OBC,Secondary,Businessman,-6.367001932563818,Lower Middle Class
Goa,Faridabad,Madhya Pradesh,Hindu,SC,Higher Secondary,Engineer,23.812588637366247,Upper Middle Class
Telangana,Karnal,Haryana,Hindu,OBC,Secondary,Businessman,6.446883864648169,Upper Middle Class
Jharkhand,Karaikudi,Sikkim,Hindu,General,Higher Secondary,Businessman,6.276194366815166,Middle Class
Punjab,Sikar,Assam,Hindu,OBC,Secondary,IT Professional,8.544693912374502,Lower Middle Class
Kerala,Rourkela,Odisha,Hindu,OBC,Graduate,Teacher,-2.9588896055875518,Below Poverty Line
Maharashtra,Sambhal,Madhya Pradesh,Muslim,ST,Primary,Farmer,0.7202621575957462,Below Poverty Line
Andhra Pradesh,Eluru,Himachal Pradesh,Hindu,General,Higher Secondary,IT Professional,2.6652370019170295,Middle Class
Gujarat,Mumbai,West Bengal,Hindu,OBC,Secondary,Teacher,8.99069690807994,Rich
