Subsidies Claimed,Government Schemes Accessed,Program Name,Scheme Enrollment Status,Vaccination Status,Health Insurance Linked,Consent Given for Data Sharing,Data Breach Status,Breach Date
32623.109937449997,MGNREGA,Other,Enrolled,Not Vaccinated,No,Yes,No,
164545.03681007086,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2018-11-19
39877.01886614141,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2018-01-29
26004.21962569536,PDS,Other,Enrolled,Vaccinated,Yes,No,Yes,2022-11-22
33091.763969675725,Other,Other,Enrolled,Not Vaccinated,No,Yes,No,
58453.89205474311,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,No,
19776.053292195837,Other,LPG Subsidy,Enrolled,Vaccinated,No,No,Yes,2015-08-20
102295.64148938833,PDS,Other,Not Enrolled,Not Vaccinated,No,Yes,No,
15925.8241724118,MGNREGA,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,No,
41148.2978357421,Other,LPG Subsidy,Enrolled,Vaccinated,No,No,Yes,2019-01-16
25257.22370799449,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,Yes,Yes,No,
-6726.049988547846,PDS,Other,Not Enrolled,Vaccinated,No,Yes,No,
-44827.07715810806,Other,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,No,
54540.699861352354,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,Yes,Yes,No,
11355.358354706139,PDS,Other,Enrolled,Vaccinated,Yes,No,Yes,2012-08-08
118974.0299978718,Other,LPG Subsidy,Enrolled,Vaccinated,No,Yes,No,
-48308.31627406618,MGNREGA,Other,Enrolled,Not Vaccinated,Yes,Yes,No,
-90633.37529877853,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,No,
126430.45324188567,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,No,
-56065.53942167714,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,Yes,2010-01-16
-162008.27862660663,MGNREGA,Other,Not Enrolled,Vaccinated,Yes,Yes,No,
6260.845767027444,MGNREGA,LPG Subsidy,Enrolled,Not Vaccinated,No,No,Yes,2012-06-02
-22725.195679054807,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,No,
-62339.910885820966,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,Yes,No,No,
1203.1760744757485,PDS,Other,Enrolled,Vaccinated,No,No,Yes,2016-03-30
821.9975601828774,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,No,
-552.313321287591,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,Yes,2020-02-05
50277.90070139122,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,Yes,No,Yes,2013-04-05
-35420.42649396381,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
-130096.5551372937,Other,Other,Enrolled,Vaccinated,No,Yes,Yes,2024-10-18
-61691.017747468286,Other,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,Yes,2013-01-23
54710.26927413535,PDS,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,No,
72013.96087112423,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,No,
-70610.37814778578,MGNREGA,Other,Enrolled,Not Vaccinated,No,Yes,Yes,2022-04-23
61502.24979873906,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,Yes,2019-07-01
63052.137258341754,MGNREGA,Other,Not Enrolled,Not Vaccinated,No,Yes,No,
68395.96008199012,Other,LPG Subsidy,Enrolled,Vaccinated,Yes,Yes,Yes,2020-05-06
215268.80309327887,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,No,
101338.51742891649,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
25218.0594409721,Other,LPG Subsidy,Enrolled,Not Vaccinated,Yes,No,No,
8979.01262050373,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
93236.2098439555,MGNREGA,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,Yes,2018-01-27
20897.934800730865,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,Yes,2023-09-03
70086.44353955032,MGNREGA,Other,Enrolled,Vaccinated,No,Yes,No,
27025.250395993982,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,No,No,
76476.246960144,MGNREGA,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,Yes,2017-05-02
74646.92882262132,PDS,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,Yes,2015-12-31
-33757.78907852426,MGNREGA,Other,Enrolled,Not Vaccinated,No,Yes,Yes,2014-01-31
-21293.962377617536,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,No,Yes,2017-10-28
-24667.464744799425,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2013-08-02
38154.10821379879,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,No,
119341.93016582818,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2011-08-16
90434.8666431875,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2013-04-09
22735.27440802923,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
18813.429765939025,PDS,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,No,
7925.923895543274,Other,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,Yes,2019-05-29
-4319.906043324312,PDS,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,Yes,2012-10-05
36010.234010131964,MGNREGA,Other,Enrolled,Vaccinated,No,Yes,Yes,2021-05-23
89249.59345431952,PDS,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,Yes,2020-04-12
2815.428101874775,PDS,Other,Enrolled,Vaccinated,Yes,No,Yes,2010-04-10
18169.95583362749,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,No,
44093.14565520055,Other,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2018-09-13
-7755.924772328715,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,Yes,2016-11-10
27981.796949770705,PDS,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,No,
93811.7866881075,PDS,Direct Benefit Transfer,Enrolled,Not Vaccinated,Yes,Yes,No,
-147438.493134347,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,No,No,
33666.0512431128,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2023-09-12
156737.530278335,MGNREGA,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,Yes,2019-11-21
30818.109403808703,PDS,Other,Not Enrolled,Not Vaccinated,Yes,No,Yes,2019-04-10
11670.743708969405,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2016-11-20
38579.859260018755,PDS,Other,Enrolled,Not Vaccinated,No,Yes,No,
150433.56793970254,Other,Other,Not Enrolled,Vaccinated,Yes,No,No,
-19443.703960184972,PDS,LPG Subsidy,Enrolled,Not Vaccinated,Yes,No,No,
40236.452074505076,MGNREGA,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2015-11-21
82156.0983037061,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,No,No,
35362.60336761037,Other,Other,Enrolled,Not Vaccinated,No,Yes,No,
-27577.696381834816,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,No,
21440.342742783043,PDS,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,Yes,2021-12-23
8599.699934000264,PDS,LPG Subsidy,Not Enrolled,Not Vaccinated,Yes,No,No,
